time,ax,ay,az,aT
0.0050,0.0314,0.0800,-0.1028,0.134
0.0050,0.0982,0.0827,-0.0289,0.132
0.0060,0.1612,0.0783,0.0519,0.187
0.0280,0.0446,0.0226,-0.0258,0.056
0.0290,0.0826,0.0170,-0.0358,0.092
0.0310,0.0392,0.0102,-0.0823,0.092
0.0330,0.0321,-0.0153,-0.0754,0.083
0.0540,0.0929,-0.0516,-0.0472,0.116
0.0550,0.1631,-0.0627,-0.0017,0.175
0.0610,0.1393,-0.0284,-0.0122,0.143
0.0690,0.1128,-0.0232,0.0079,0.115
0.0780,0.1354,0.0082,-0.0207,0.137
0.0830,0.1348,0.0146,-0.0566,0.147
0.0940,0.1221,0.0177,-0.0394,0.130
0.1040,0.1359,0.0204,-0.0324,0.141
0.1090,0.1301,0.0199,-0.0584,0.144
0.1180,0.1210,0.0018,-0.0486,0.130
0.1280,0.0564,-0.0466,-0.0112,0.074
0.1340,0.0557,-0.0672,-0.0003,0.087
0.1430,0.0737,-0.0415,-0.0309,0.090
0.1590,0.0426,-0.0145,-0.0436,0.063
0.1610,0.0059,0.0082,-0.0439,0.045
0.1690,0.0316,-0.0028,-0.0250,0.040
0.1780,0.1264,0.0190,-0.0613,0.142
0.2060,0.0935,0.0454,-0.1234,0.161
0.2070,0.0791,0.0450,-0.1039,0.138
0.2080,0.1217,0.0326,-0.0921,0.156
0.2100,0.0784,-0.0223,-0.0621,0.102
0.2190,0.0687,-0.0724,-0.0224,0.102
0.2280,0.1495,-0.0898,0.0064,0.175
0.2340,0.1388,-0.0727,0.0213,0.158
0.2440,0.0653,-0.0139,0.0605,0.090
0.2530,0.0296,0.0370,0.0292,0.056
0.2580,0.0436,0.0382,0.0154,0.060
0.2680,0.0487,0.0297,0.0512,0.077
0.2790,0.0344,0.0249,0.0189,0.047
0.3000,0.0345,0.0399,0.0073,0.053
0.3010,0.0134,0.0300,-0.0534,0.063
0.3040,0.0631,0.0311,-0.1041,0.126
0.3380,0.0870,0.0641,-0.1812,0.211
0.3390,0.0704,0.0672,-0.1664,0.193
0.3400,0.1078,0.0332,-0.1208,0.165
0.3410,0.1060,-0.0382,-0.0815,0.139
0.3440,0.0583,-0.0363,-0.0107,0.069
0.3530,-0.0130,-0.0144,0.0326,0.038
0.3610,0.0317,-0.0365,0.0276,0.056
0.3700,0.0791,-0.0570,0.0422,0.106
0.3780,0.0364,-0.0605,0.0412,0.082
