time,ax,ay,az,aT
0.0060,0.2138,0.0030,-0.6108,0.647
0.0070,0.1813,0.0293,-0.5662,0.595
0.0080,0.2040,0.0605,-0.5199,0.562
0.0140,0.2461,0.0513,-0.4520,0.517
0.0240,0.2758,-0.0075,-0.3806,0.470
0.0290,0.3043,-0.0519,-0.3062,0.435
0.0390,0.2935,-0.1025,-0.2523,0.400
0.0440,0.2766,-0.1504,-0.2096,0.378
0.0550,0.2755,-0.1729,-0.2561,0.414
0.0600,0.1890,-0.1623,-0.4383,0.504
0.0790,-0.0348,-0.1455,-0.6414,0.659
0.0870,-0.2194,-0.0642,-0.7344,0.769
0.0870,-0.3711,-0.0112,-0.7366,0.825
0.0950,-0.4216,-0.0003,-0.6364,0.763
0.1080,-0.3637,-0.0257,-0.4002,0.541
0.1090,-0.2746,-0.0658,-0.1232,0.308
0.1260,-0.1688,-0.1045,0.2071,0.287
0.1440,-0.0671,-0.1217,0.5024,0.521
0.1450,0.0177,-0.1279,0.6579,0.670
0.1460,0.0477,-0.1055,0.6836,0.693
0.1620,0.0327,-0.0428,0.5913,0.594
0.1630,-0.1110,0.0191,0.4341,0.449
0.1770,-0.2960,0.0697,0.1938,0.361
0.1820,-0.3831,0.1281,-0.0903,0.414
0.1920,-0.3817,0.1529,-0.3315,0.528
0.2110,-0.3187,0.1444,-0.4045,0.535
0.2120,-0.2608,0.1267,-0.3440,0.450
0.2130,-0.1664,0.1257,-0.1907,0.283
0.2260,-0.0840,0.1400,-0.0747,0.180
0.2310,-0.0202,0.1737,0.0785,0.192
0.2490,-0.0088,0.2043,0.2402,0.315
0.2510,-0.0493,0.2482,0.3559,0.437
0.2520,-0.0931,0.2862,0.3452,0.458
0.2680,-0.1293,0.2973,0.2353,0.401
0.2770,-0.1847,0.2962,0.1964,0.401
0.2780,-0.2463,0.2828,0.2258,0.438
0.2850,-0.2897,0.2236,0.2322,0.433
0.2960,-0.3062,0.1745,0.1944,0.403
0.3010,-0.2928,0.1487,0.1495,0.361
0.3110,-0.2975,0.1066,0.1149,0.336
0.3210,-0.3151,0.0705,0.1230,0.346
0.3280,-0.3269,0.0448,0.1938,0.383
0.3350,-0.3292,0.0306,0.2394,0.408
0.3450,-0.2959,0.0297,0.2454,0.386
0.3590,-0.1810,0.0380,0.2366,0.300
0.3610,-0.0836,0.0197,0.2461,0.261
0.3710,-0.0257,-0.0107,0.2323,0.234
0.3750,-0.0206,-0.0244,0.2259,0.228
0.3910,-0.0503,-0.0555,0.1665,0.183
0.3950,-0.0922,-0.0806,0.0082,0.123
0.4010,-0.1307,-0.0824,-0.1341,0.205
0.4110,-0.1933,-0.0775,-0.2225,0.305
0.4210,-0.2289,-0.0814,-0.2023,0.316
0.4250,-0.2645,-0.0766,-0.1681,0.323
0.4430,-0.2194,-0.0436,-0.1827,0.289
0.4460,-0.1607,-0.0399,-0.1750,0.241
0.4590,-0.0985,-0.0393,-0.0895,0.139
0.4610,-0.0042,-0.0423,0.0065,0.043
0.4760,0.0864,-0.0617,0.1077,0.151
0.4770,0.1685,-0.0716,0.1739,0.253
0.4930,0.1693,-0.0975,0.2285,0.301
0.4960,0.1886,-0.1303,0.1915,0.299
0.5110,0.1920,-0.1627,0.0888,0.267
0.5120,0.1506,-0.1747,-0.0295,0.233
0.5380,0.1272,-0.1762,-0.1409,0.259
0.5400,0.1304,-0.1757,-0.1862,0.287
0.5410,0.1522,-0.1590,-0.1749,0.281
0.5420,0.2138,-0.1529,-0.1254,0.291
0.5510,0.2809,-0.1696,-0.0952,0.342
0.5610,0.3455,-0.1805,-0.1188,0.408
0.5690,0.3590,-0.1885,-0.1703,0.440
0.5780,0.3462,-0.1809,-0.2961,0.490
0.5860,0.3492,-0.1855,-0.4941,0.633
0.5910,0.3522,-0.1872,-0.6820,0.790
0.6020,0.3681,-0.1874,-0.8323,0.929
0.6120,0.4246,-0.2070,-0.8675,0.988
0.6170,0.6094,-0.2031,-0.7678,1.001
0.6270,0.7647,-0.2042,-0.5053,0.939
0.6370,0.8569,-0.2028,-0.1439,0.892
0.6420,0.8976,-0.2076,0.1497,0.933
0.6600,0.8418,-0.2111,0.2818,0.912
0.6620,0.7109,-0.1991,0.2801,0.790
0.6740,0.5896,-0.1610,0.1274,0.624
0.6760,0.3969,-0.1312,-0.1388,0.440
0.6980,0.1386,-0.1261,-0.4870,0.522
0.6990,-0.0029,-0.1084,-0.9181,0.925
0.7010,-0.0447,-0.0865,-1.2771,1.281
0.7120,-0.0086,-0.0674,-1.4332,1.435
0.7170,0.0634,-0.0655,-1.3912,1.394
0.7270,0.1712,-0.0736,-1.2094,1.224
0.7370,0.2681,-0.0697,-0.9566,0.996
0.7420,0.3031,-0.0344,-0.7120,0.775
0.7550,0.2377,0.0064,-0.5443,0.594
0.7620,0.0635,-0.0059,-0.4393,0.444
0.7720,-0.0823,-0.0295,-0.3928,0.402
0.7770,-0.1580,-0.0550,-0.3631,0.400
0.7870,-0.1936,-0.0588,-0.4347,0.479
0.7920,-0.2181,-0.0390,-0.5423,0.586
0.8150,-0.2881,-0.0163,-0.6493,0.711
0.8160,-0.4496,0.0115,-0.6133,0.761
0.8470,-0.5499,0.0364,-0.5211,0.758
0.8480,-0.5664,0.0217,-0.3939,0.690
0.8490,-0.5311,-0.0418,-0.2700,0.597
0.8510,-0.4559,-0.1257,-0.1713,0.503
0.8520,-0.4418,-0.2388,-0.0355,0.503
0.8570,-0.5556,-0.3249,0.1063,0.652
0.8710,-0.6660,-0.3805,0.1972,0.792
0.8770,-0.6784,-0.4221,0.1842,0.820
0.8860,-0.6247,-0.4500,0.0782,0.774
0.8920,-0.5436,-0.4554,0.0379,0.710
0.9020,-0.4635,-0.4270,0.0987,0.638
0.9350,-0.4204,-0.3777,0.2203,0.607
0.9370,-0.4429,-0.3645,0.2769,0.637
0.9380,-0.4891,-0.3503,0.2575,0.654
0.9390,-0.5181,-0.3429,0.0911,0.628
0.9420,-0.5402,-0.3551,-0.3237,0.723
0.9630,-0.5876,-0.3679,-0.7333,1.009
0.9640,-0.6146,-0.3833,-1.0425,1.269
0.9730,-0.5792,-0.4608,-1.1286,1.350
0.9770,-0.4205,-0.5171,-0.9872,1.191
0.9850,-0.1793,-0.5434,-0.6839,0.892
0.9920,0.0391,-0.5813,-0.3712,0.691
1.0050,0.2060,-0.5519,-0.0708,0.593
1.0080,0.2970,-0.4901,0.1407,0.590
1.0180,0.2981,-0.4043,0.2999,0.585
1.0270,0.2055,-0.3148,0.3865,0.539
1.0350,0.1116,-0.2506,0.2526,0.373
1.0420,0.1245,-0.2281,-0.0068,0.260
1.0550,0.1023,-0.2697,-0.3363,0.443
1.0580,-0.0104,-0.3270,-0.5937,0.678
1.0710,-0.0517,-0.3657,-0.7564,0.842
1.0720,0.0346,-0.4198,-0.9046,0.998
1.0830,0.1953,-0.5271,-0.9611,1.113
1.1030,0.4097,-0.7154,-0.9144,1.231
1.1050,0.5973,-0.9295,-0.6416,1.278
1.1080,0.6805,-1.0836,-0.0303,1.280
1.1320,0.6746,-1.1173,0.7596,1.510
1.1340,0.6600,-1.0491,1.5128,1.956
1.1370,0.5857,-0.9623,2.0326,2.324
1.1430,0.4148,-0.8442,2.3416,2.523
1.1470,0.1982,-0.6551,2.4595,2.553
1.1580,0.0131,-0.4601,2.3636,2.408
1.1710,-0.2284,-0.3118,2.1959,2.230
1.1730,-0.4856,-0.1163,1.9458,2.009
1.1840,-0.7351,0.0524,1.5732,1.737
1.1930,-0.9379,0.2016,1.1681,1.511
1.1980,-1.0824,0.3091,0.8657,1.420
1.2110,-1.2730,0.3330,0.6920,1.487
1.2230,-1.4315,0.3198,0.6626,1.610
1.2280,-1.4362,0.3162,0.6909,1.625
1.2450,-1.3352,0.3586,0.7931,1.594
1.2470,-1.2730,0.4374,0.9320,1.637
1.2480,-1.2025,0.5187,1.0247,1.663
1.2590,-1.4682,0.5183,1.0307,1.867
1.2690,-1.7410,0.5531,0.9667,2.067
1.2740,-1.9371,0.6148,0.7804,2.177
1.2840,-2.0345,0.6919,0.5259,2.212
1.2930,-1.9512,0.7703,0.1977,2.107
1.2980,-1.6599,0.8088,-0.1019,1.849
1.3080,-1.2549,0.7770,-0.3448,1.516
1.3130,-0.8413,0.6441,-0.5014,1.172
