time,ax,ay,az,aT
0.0020,0.0749,0.0120,0.3347,0.343
0.0580,-0.0243,-0.0368,0.2503,0.254
0.0590,-0.0759,-0.0713,0.0392,0.111
0.0590,-0.1284,-0.0487,0.0088,0.138
0.0600,-0.1955,0.0240,-0.1168,0.229
0.0610,-0.2457,0.0884,-0.2727,0.378
0.0610,-0.3022,0.1193,-0.3910,0.508
0.0620,-0.3389,0.1059,-0.4154,0.546
0.0620,-0.2299,0.1009,-0.2396,0.347
0.0770,-0.0657,0.0673,-0.0902,0.130
0.0780,0.0818,0.0178,0.0584,0.102
0.0900,0.1544,-0.0383,0.1509,0.219
0.0970,0.1530,-0.0655,0.2014,0.261
0.1020,0.1523,-0.0492,0.2040,0.259
0.1400,0.0425,-0.0479,0.2164,0.226
0.1420,-0.1230,-0.0105,0.0492,0.133
0.1420,-0.2315,0.0284,-0.1304,0.267
0.1430,-0.2468,0.0905,-0.2773,0.382
0.1470,-0.2589,0.1009,-0.2950,0.405
0.1650,-0.2471,0.1241,-0.2118,0.348
0.1660,-0.1648,0.1166,-0.0777,0.216
0.2040,-0.0699,0.0669,0.0487,0.108
0.2050,-0.0079,0.0085,0.1149,0.115
0.2060,-0.1390,-0.0283,0.1709,0.222
0.2070,-0.1119,-0.0667,0.1800,0.222
0.2080,-0.3103,-0.0369,0.2077,0.375
0.2150,-0.2314,-0.0201,0.1518,0.277
0.2220,-0.1720,-0.0560,0.1422,0.230
0.2270,-0.0594,-0.0374,0.0222,0.074
0.2550,0.1042,-0.0339,-0.1466,0.183
0.2560,0.2055,0.0499,-0.0672,0.222
0.2570,0.1739,0.1701,-0.1499,0.286
0.3150,0.1473,0.3059,0.0217,0.340
0.3160,-0.0279,0.3178,0.0122,0.319
0.3170,-0.2365,0.2223,-0.1114,0.343
0.3180,-0.2834,0.1497,-0.1087,0.338
0.3190,-0.2107,0.0944,-0.1904,0.299
0.3200,-0.1458,0.0632,-0.2563,0.302
0.3210,-0.1584,0.0208,-0.1644,0.229
0.3220,-0.0214,-0.0003,0.0739,0.077
0.3270,0.0508,-0.0710,0.1070,0.138
0.3380,0.2494,-0.1309,0.3163,0.423
0.3430,0.3548,-0.1477,0.3390,0.512
0.3520,0.3219,-0.1828,0.2714,0.459
0.3680,0.2099,-0.1749,0.1330,0.304
0.3710,0.0429,-0.1584,-0.0291,0.167
0.3840,-0.2008,-0.1033,-0.0908,0.243
0.3870,-0.2874,-0.0719,0.0893,0.309
0.3930,-0.2373,-0.1576,-0.0586,0.291
0.4180,-0.2036,-0.2088,0.0165,0.292
0.4210,-0.0276,-0.1342,0.0775,0.157
0.4210,0.2058,-0.0515,0.1103,0.239
0.4630,0.2849,0.0308,0.0998,0.303
0.4640,0.1897,0.0522,0.0705,0.209
0.4640,-0.0531,-0.0259,-0.0033,0.059
0.4650,-0.3558,-0.1170,-0.1284,0.396
0.4660,-0.4309,-0.2067,-0.2463,0.538
0.4680,-0.2240,-0.3491,-0.2922,0.507
0.4780,0.0712,-0.3002,-0.1507,0.343
0.5050,0.2989,-0.2010,0.0570,0.365
0.5060,0.5399,-0.1562,-0.0240,0.563
0.5150,0.7262,-0.3447,-0.3774,0.888
0.5170,0.1832,-0.8203,-0.5171,0.987
0.5200,0.2671,-0.3454,0.0096,0.437
0.5660,0.6945,0.3241,0.0461,0.768
0.5670,0.3408,0.4882,0.4018,0.718
0.5670,-0.0663,0.4662,0.5760,0.744
0.5680,-0.3651,0.3265,0.6741,0.833
0.5690,-0.5409,0.1250,0.6212,0.833
0.5700,-0.5411,0.0933,0.5422,0.772
0.5790,-0.5046,0.1832,0.5262,0.752
0.5830,-0.5410,0.2219,0.4417,0.733
0.5930,-0.7371,-0.0259,0.3568,0.819
0.6210,-0.6502,-0.1524,0.1060,0.676
0.6230,-0.3349,-0.0141,-0.2352,0.409
0.6230,-0.0842,0.0712,-0.3425,0.360
0.6280,0.0175,-0.0009,-0.2507,0.251
0.6330,-0.2172,-0.3129,-0.2349,0.448
0.6700,-0.4594,-0.7341,-0.1908,0.887
0.6710,-0.6239,-1.1655,-0.2145,1.339
0.6720,-0.7396,-1.7362,-0.4397,1.938
0.6740,-0.5022,-1.6613,-0.7337,1.884
0.6780,-0.0470,-1.7521,-0.5663,1.842
0.6830,0.0281,-2.2360,0.1406,2.241
0.6950,-0.0183,-1.7791,0.8001,1.951
0.7080,0.2790,-0.9951,1.1124,1.518
0.7090,0.5254,-0.3859,1.2850,1.441
0.7180,0.6035,-0.1378,0.9608,1.143
0.7280,0.9514,0.3364,0.5046,1.128
0.7330,1.2908,0.5896,0.1877,1.431
0.7430,1.1983,0.7044,0.0607,1.391
0.7670,0.6793,0.7052,-0.0528,0.981
0.7670,0.0505,0.6486,0.0106,0.651
0.7690,-0.4155,0.3984,0.0662,0.579
0.8230,-0.5954,0.1495,0.0933,0.621
0.8240,-0.7332,-0.0402,0.1706,0.754
0.8250,-0.6479,0.1316,0.4540,0.802
0.8260,-0.4661,0.5166,0.7721,1.039
0.8260,-0.3941,0.9054,0.8113,1.278
0.8270,-0.3876,1.2444,0.7456,1.502
0.8280,0.0727,1.5472,0.6592,1.683
0.8340,0.5436,1.6231,-0.0476,1.712
0.8450,0.4525,1.3681,0.0680,1.443
0.8490,0.3622,0.9579,0.4772,1.130
0.8640,0.4531,0.4175,0.1432,0.633
0.8690,0.3329,-0.0033,-0.4026,0.522
0.8740,0.1952,-0.3040,-0.5844,0.687
0.8840,0.0884,-0.4403,-0.5173,0.685
0.8970,-0.0466,-0.4497,-0.4683,0.651
0.9030,-0.0145,-0.4181,-0.6133,0.742
0.9460,0.0431,-0.4275,-1.8830,1.931
0.9480,-0.0793,-0.1310,-0.8698,0.883
0.9490,-0.0725,0.1299,0.5040,0.525
0.9500,0.0076,0.3956,1.0663,1.137
0.9510,-0.1021,0.5264,0.8774,1.028
0.9520,-0.2183,0.0610,0.5799,0.623
0.9600,-0.4476,-0.5732,0.0200,0.728
0.9720,-0.6517,-0.5253,-0.7458,1.121
0.9740,-0.6027,-0.1156,-0.9636,1.142
0.9840,-0.5188,0.4953,-0.4977,0.873
0.9950,-0.1213,0.8333,0.1391,0.853
0.9990,0.2661,0.8946,0.3437,0.995
1.0090,0.4092,0.6504,0.0537,0.770
1.0220,0.5056,0.5067,-0.4334,0.837
1.0240,0.6397,0.5420,-0.7192,1.105
1.0340,0.7001,0.4246,-0.4811,0.950
1.0450,0.7597,0.3444,-0.3083,0.889
1.0490,0.7815,0.2484,-0.3187,0.880
1.0700,0.6713,-0.0225,-0.3054,0.738
1.0710,0.4654,-0.3482,-0.2702,0.641
1.1200,0.1628,-0.6686,-0.3323,0.764
1.1210,-0.2485,-1.1170,-0.3684,1.202
1.1220,-0.5494,-2.0995,-0.4382,2.214
1.1220,-0.5989,-2.8059,-0.5968,2.930
1.1230,-0.2464,-2.5632,-0.6086,2.646
1.1240,-0.1371,-2.2263,-0.5551,2.299
1.1250,0.0602,-1.8347,-0.6563,1.950
1.1340,0.2896,-1.5438,-0.5338,1.659
1.1390,0.3218,-1.4654,-0.5813,1.609
1.1490,0.1032,-1.5570,-1.0744,1.895
1.1600,-0.2789,-1.2660,-1.7468,2.175
1.1650,-0.6081,-0.8339,-3.1852,3.348
1.1830,-1.3517,-1.1336,-5.7403,6.005
1.1860,-2.5416,-1.7662,-6.3759,7.087
1.2460,-2.8071,-1.4551,1.2712,3.408
1.2480,-0.2969,-0.8644,12.6303,12.663
1.2490,1.0151,-1.3637,6.8988,7.105
1.2510,1.4099,-1.2004,0.0093,1.852
1.2520,1.5077,-0.5417,-1.7214,2.352
1.2530,0.9174,-0.1507,-1.1277,1.461
1.2540,0.8320,0.3249,-0.6140,1.084
1.2550,0.9403,1.0095,-0.3153,1.415
1.2590,0.2554,1.4062,0.5866,1.545
1.2640,-0.0029,1.6297,1.0216,1.923
1.2750,0.4762,1.9455,0.4074,2.044
1.2850,0.1090,2.0828,0.0928,2.088
1.2900,0.4738,2.1593,-0.6873,2.315
1.3000,0.5433,2.1013,-1.0957,2.431
1.3180,0.6316,2.0995,-0.9777,2.401
1.3200,0.3558,1.9857,-0.2172,2.029
1.3650,1.7362,2.1317,-0.6612,2.828
1.3720,2.0810,2.1992,-0.2715,3.040
1.3730,1.4459,2.1074,0.4411,2.594
1.3730,0.1982,1.7048,0.5492,1.802
1.3740,-0.9608,1.1585,0.3238,1.540
1.3770,-0.5698,0.8214,-0.3710,1.066
1.3780,0.5963,0.7561,-0.3730,1.033
1.3810,1.5830,0.8346,0.0202,1.790
1.3930,1.3223,0.7330,0.4564,1.579
1.4000,0.4004,0.4135,0.2689,0.635
1.4070,-0.1719,0.1952,-0.2545,0.364
1.4150,0.3240,0.1879,-0.8647,0.942
1.4250,0.9696,0.3076,-0.7858,1.285
1.4300,0.5315,0.2971,-0.0519,0.611
1.4440,-0.0253,0.1398,0.2475,0.285
1.4500,0.5483,0.2300,-0.2377,0.640
1.4970,0.9652,0.4384,-0.2369,1.086
1.4970,0.7605,0.5114,0.1473,0.928
1.4980,0.4603,0.5110,0.2485,0.731
1.4980,0.1302,0.4591,0.1497,0.500
1.4990,-0.1459,0.4313,0.0286,0.456
1.5000,-0.2693,0.3910,-0.0511,0.477
1.5080,-0.3031,0.3089,-0.1585,0.461
1.5150,0.0425,0.2819,-0.5185,0.592
1.5250,0.0808,0.1770,-0.4765,0.515
1.5300,-0.3934,-0.0419,-0.0655,0.401
1.5400,-0.3714,-0.0756,-0.2464,0.452
1.5500,-0.2048,-0.0582,-0.4927,0.537
1.5570,-0.0788,-0.0477,-0.3542,0.366
1.5650,0.0768,-0.0201,-0.2754,0.287
1.5750,0.1388,-0.0549,-0.1265,0.196
1.5800,0.1787,-0.0496,-0.0576,0.194
1.5990,0.3416,0.0295,-0.2570,0.429
