time,ax,ay,az,aT
0.0040,-0.2044,-0.0292,-0.2344,0.312
0.0070,-0.1275,-0.0180,-0.3671,0.389
0.0180,-0.0125,-0.0635,-0.4983,0.502
0.0220,0.1416,-0.1067,-0.5698,0.597
0.0290,0.1233,-0.1084,-0.5632,0.587
0.0380,0.2243,-0.1654,-0.6153,0.675
0.0460,0.1724,-0.1422,-0.5120,0.559
0.0610,0.1244,-0.1184,-0.4487,0.480
0.0630,0.1186,-0.1336,-0.4052,0.443
0.0740,0.1160,-0.1297,-0.3037,0.350
0.0800,0.1154,-0.1262,-0.2999,0.345
0.0880,0.1169,-0.0062,-0.1799,0.215
0.0970,0.0038,-0.0032,-0.0810,0.081
0.1050,-0.1084,0.0190,-0.1190,0.162
0.1140,-0.2401,0.0216,-0.0986,0.260
0.1220,-0.1984,0.0053,-0.0984,0.222
0.1300,-0.1412,0.0089,0.0172,0.143
0.1390,-0.1440,0.0133,0.0148,0.145
0.1470,-0.1656,-0.0010,0.1475,0.222
0.1550,-0.2442,0.0225,0.2790,0.371
0.1640,-0.1073,0.0633,0.2740,0.301
0.1720,-0.1245,0.1020,0.1540,0.223
0.1900,-0.2169,0.0811,0.1717,0.288
0.1910,-0.2104,0.0792,0.3443,0.411
0.2020,-0.2028,0.0763,0.3409,0.404
0.2070,-0.2137,0.0915,0.3381,0.410
0.2160,-0.1870,0.0663,0.3745,0.424
0.2230,-0.2016,0.0786,0.2751,0.350
0.2310,-0.2776,0.0711,0.0800,0.297
0.2390,-0.4916,0.0062,-0.0551,0.495
0.2480,-0.7621,0.0393,-0.1114,0.771
0.2560,-0.7581,0.0345,-0.1093,0.767
0.2650,-0.8497,0.1864,-0.0884,0.874
0.2730,-1.0555,0.2017,0.0481,1.076
0.2810,-1.2207,0.2951,0.2208,1.275
0.2900,-1.0796,0.3500,0.1384,1.143
0.2980,-0.9693,0.3864,0.1130,1.050
0.3070,-1.0030,0.3876,-0.0113,1.075
0.3150,-1.0229,0.3929,-0.0200,1.096
0.3250,-1.0656,0.3842,0.0850,1.136
0.3350,-1.1817,0.4780,0.4386,1.348
0.3410,-1.2094,0.4196,0.9808,1.613
0.3490,-1.2062,0.3247,1.5362,1.980
0.3600,-1.4012,0.2477,1.8355,2.322
0.3650,-1.3751,0.2650,1.8193,2.296
0.3740,-1.4308,0.3131,1.8281,2.342
0.3820,-1.4814,0.4093,1.5520,2.184
0.3910,-1.4913,0.5336,1.2463,2.015
0.3990,-1.0516,0.4945,1.1638,1.645
0.4080,-0.8308,0.1603,1.6138,1.822
0.4160,-0.3834,-0.1347,2.7091,2.739
0.4250,-0.2272,-0.1575,2.7340,2.748
0.4330,0.6884,-0.6150,4.1327,4.235
0.4410,1.6191,-1.0217,5.1848,5.527
0.4490,2.4819,-1.2509,5.7010,6.342
0.4580,2.8951,-1.2297,5.6254,6.445
0.4680,2.7866,-1.1970,5.0562,5.896
0.4770,2.1915,-1.3802,4.4285,5.130
0.4840,2.3390,-1.5536,4.5385,5.337
0.4940,1.9453,-1.8674,3.9988,4.823
0.5000,2.1606,-2.2995,4.1662,5.226
0.5080,2.4433,-2.5485,4.0247,5.354
0.5170,2.6319,-2.6226,3.2302,4.923
0.5240,2.8245,-2.4211,1.8954,4.175
0.5330,2.8732,-1.8854,0.1167,3.439
0.5410,2.9388,-2.1799,0.3807,3.679
0.5500,2.4261,-1.7626,-0.9704,3.152
0.5580,1.9785,-1.8737,-1.6297,3.175
0.5680,1.7150,-2.3337,-1.5537,3.287
0.5750,1.6050,-2.9249,-1.0764,3.506
0.5840,1.2444,-3.2192,-0.3732,3.471
0.5920,1.2151,-3.0897,0.1485,3.323
0.6000,1.0739,-3.3050,0.4086,3.499
