time,ax,ay,az,aT
1.1000,-0.3276,0.0976,-0.6578,0.741
1.1120,-0.2242,0.0528,-0.6759,0.714
1.1160,-0.1080,0.0140,-0.6211,0.631
1.1250,-0.0918,0.0616,-0.5911,0.601
1.1330,-0.1311,0.0954,-0.6222,0.643
1.1410,-0.1460,0.0170,-0.5565,0.576
1.1500,-0.1947,0.0604,-0.2958,0.359
1.1580,-0.2598,0.1051,-0.1134,0.302
1.1670,-0.3251,0.1671,0.2464,0.441
1.1760,-0.2530,0.1859,0.4515,0.550
1.1830,-0.2176,0.2375,0.4651,0.566
1.1910,-0.2353,0.2619,0.4455,0.568
1.2000,-0.1476,0.2385,0.4914,0.566
1.2090,-0.1335,0.2236,0.3490,0.435
1.2170,-0.0765,0.2196,0.1539,0.279
1.2260,-0.0932,0.2247,-0.0545,0.249
1.2330,-0.0085,0.2831,-0.2563,0.382
1.2420,0.1781,0.2628,-0.3179,0.449
1.2510,0.1936,0.2446,-0.3006,0.433
1.2590,0.3099,0.2102,-0.2067,0.428
1.2670,0.3303,0.0833,0.0587,0.346
1.2760,0.2700,-0.1161,0.1437,0.327
1.2850,0.1814,-0.0977,0.3010,0.365
1.2920,0.0267,0.0375,0.3175,0.321
1.3010,-0.1707,0.1517,0.3320,0.403
1.3090,-0.1753,0.1492,0.3256,0.399
1.3190,-0.2377,0.2438,0.2030,0.396
1.3260,-0.2774,0.2597,0.0054,0.380
1.3340,-0.2547,0.2557,-0.0141,0.361
1.3430,-0.1877,0.2894,0.1817,0.390
1.3510,0.0003,0.3399,0.4935,0.599
1.3590,-0.0226,0.2709,0.5138,0.581
1.3680,-0.0033,0.2572,0.5175,0.578
1.3770,0.0943,0.1620,0.4854,0.520
1.3850,0.0949,0.1041,0.2429,0.281
1.3930,0.0966,0.1033,0.1600,0.214
1.4020,0.1003,0.1789,0.1182,0.237
1.4100,0.1453,0.2158,0.2514,0.362
1.4180,0.1702,0.1965,0.2654,0.372
1.4300,-0.0024,0.1797,0.4123,0.450
1.4350,-0.0599,0.1462,0.3034,0.342
1.4440,-0.0972,0.1926,0.0208,0.217
1.4520,-0.1532,0.2017,-0.2398,0.349
1.4600,-0.1709,0.1943,-0.4213,0.494
1.4690,-0.1928,0.0732,-0.3903,0.441
1.4780,-0.1821,0.0720,-0.3825,0.430
1.4860,-0.0819,0.0149,-0.1655,0.185
1.4940,-0.0059,-0.0791,0.2016,0.217
1.5020,-0.0057,-0.1738,0.4881,0.518
1.5110,0.0604,-0.1552,0.7177,0.737
1.5190,0.1928,-0.1246,0.6999,0.737
1.5270,0.3729,-0.0830,0.5168,0.643
1.5360,0.4079,-0.1079,0.5385,0.684
1.5440,0.5374,-0.1015,0.3004,0.624
1.5530,0.5317,-0.0596,0.1529,0.556
1.5610,0.3614,-0.0382,0.0124,0.364
1.5710,0.0381,-0.0182,0.0693,0.081
1.5780,-0.2869,-0.0212,-0.0086,0.288
1.5870,-0.3816,0.0475,0.0528,0.388
1.5950,-0.3038,-0.0065,0.1176,0.326
1.6030,-0.2665,0.1472,0.2835,0.416
1.6110,-0.3283,0.1778,0.4516,0.586
1.6230,-0.3156,0.0650,0.7199,0.789
1.6290,-0.2526,0.0037,0.9697,1.002
1.6420,-0.0484,-0.0631,1.1396,1.142
1.6440,-0.0121,-0.1564,1.2138,1.224
1.6540,0.1368,-0.0822,1.3716,1.381
1.6620,0.3431,-0.2104,1.1503,1.219
1.6780,0.5140,-0.2650,0.9047,1.074
1.6790,0.4806,-0.3799,0.6555,0.897
1.7000,0.5005,-0.3838,0.2113,0.665
1.7000,0.5851,-0.3298,-0.3587,0.762
1.7030,0.6538,-0.4481,-0.1986,0.817
1.7170,0.8591,-0.2864,-0.8013,1.209
1.7200,1.1602,-0.0946,-1.2913,1.738
1.7300,1.1647,-0.0247,-1.5191,1.914
1.7370,0.9536,0.1372,-1.5032,1.785
1.7490,0.8406,0.2724,-1.3809,1.639
1.7540,0.8013,0.3992,-1.2532,1.540
1.7620,0.8541,0.3574,-1.1570,1.482
1.7710,0.9947,0.2243,-2.2100,2.434
1.7800,0.5804,-0.1223,-2.6956,2.760
1.7880,0.6116,-0.1771,-2.1396,2.232
1.7960,0.5118,-0.1175,-0.8668,1.013
1.8050,0.0155,0.0759,0.4820,0.488
1.8130,-0.3592,0.3812,1.2515,1.357
1.8210,-0.3767,0.3272,1.3083,1.400
1.8290,-0.8600,0.5988,1.5954,1.909
1.8380,-1.2616,0.7441,1.5655,2.144
1.8460,-1.1726,0.7432,1.4934,2.039
1.8550,-0.5773,0.5758,1.3802,1.603
1.8640,0.1899,0.3645,1.3951,1.454
1.8790,0.9540,0.1117,1.6150,1.879
1.8800,0.9399,0.0153,1.7706,2.005
1.8900,1.7218,-0.2934,1.6674,2.415
1.8960,2.2170,-0.5788,0.8723,2.452
1.9080,2.3229,-0.8189,-0.2513,2.476
1.9130,1.6274,-0.7591,-1.2159,2.169
1.9220,0.6388,-0.4591,-1.8480,2.008
1.9300,0.6470,-0.5244,-1.6670,1.863
1.9550,-0.1530,0.0435,-1.5597,1.568
1.9550,-0.5296,0.3009,-1.3685,1.498
1.9570,-0.6211,0.4822,-1.0542,1.315
1.9640,-0.4473,0.5862,-0.7703,1.066
1.9730,-0.0685,0.5525,-0.5923,0.813
1.9800,0.2644,0.3437,-0.6557,0.786
1.9890,0.2194,0.2928,-0.5487,0.660
1.9980,0.2082,-0.0122,-0.8174,0.844
2.0060,0.1734,-0.1007,-0.8924,0.915
2.0140,0.3912,0.1061,-1.1856,1.253
2.0230,0.5119,0.3746,-1.5817,1.704
2.0330,0.7721,0.4712,-1.9285,2.130
2.0390,0.9764,0.3386,-2.0951,2.336
2.0490,0.9296,0.3098,-2.0434,2.266
2.0560,0.8097,0.3843,-1.2430,1.532
2.0660,0.8897,0.5998,-0.1035,1.078
2.0730,0.7182,0.8949,0.7382,1.364
2.0820,0.2555,0.9931,1.4104,1.744
2.0900,-0.1884,0.8341,1.5061,1.732
2.0990,-0.5773,0.3967,1.0337,1.249
2.1080,-0.6165,0.3668,1.1131,1.324
2.1160,-0.8948,-0.3314,0.2683,0.991
2.1240,-0.9421,-0.9121,-0.8208,1.547
2.1330,-0.9950,-1.2970,-1.8060,2.436
2.1410,-0.8830,-1.6433,-2.1110,2.817
2.1490,-0.8427,-1.9311,-2.0216,2.920
2.1570,-0.9348,-1.9656,-1.9498,2.922
2.1670,-1.3373,-2.2178,-1.8744,3.197
2.1760,-1.7640,-2.4741,-2.1075,3.698
2.1830,-2.4061,-2.9533,-2.8442,4.754
2.1910,-2.7721,-3.7105,-3.7170,5.939
2.2000,-2.2754,-4.6253,-4.3521,6.746
2.2100,-1.4828,-4.8321,-4.6008,6.835
2.2160,-1.7850,-4.8735,-4.6609,6.976
2.2260,-0.5337,-4.4536,-4.1444,6.107
2.2340,1.2842,-4.2342,-3.0209,5.358
2.2420,1.8590,-2.7269,-1.7873,3.753
2.2500,0.9981,-0.5228,-0.5322,1.246
2.2580,2.3284,0.0066,0.3817,2.360
2.2670,2.0661,0.3693,0.4533,2.147
2.2740,1.8549,0.4059,0.2763,1.919
2.2830,1.9955,-0.1407,0.3861,2.037
2.2940,1.7209,0.4319,0.3336,1.805
2.3020,1.4584,1.6310,0.4311,2.230
2.3090,2.2744,1.8879,0.6770,3.032
2.3170,2.4497,1.9066,0.5447,3.152
2.3250,2.6592,1.6469,1.2249,3.359
2.3380,2.6058,1.6775,1.1270,3.298
2.3420,2.6212,1.6243,1.2343,3.322
2.3530,2.4168,1.6208,0.6344,2.978
2.3580,2.1545,1.4922,0.0728,2.622
2.3680,2.1762,0.9691,-1.4586,2.793
2.3760,2.2399,0.3487,-2.7305,3.549
2.3850,2.2516,0.1051,-2.0868,3.072
2.3920,2.2627,0.1283,-2.1564,3.128
2.4020,2.1433,0.1826,-0.4713,2.202
2.4090,1.7626,0.3961,0.7389,1.952
2.4180,1.5946,0.5075,0.9233,1.911
2.4260,1.7973,0.5541,0.5184,1.951
2.4430,2.1372,0.3210,0.1886,2.169
2.4440,2.1263,0.3390,0.1433,2.158
2.4520,2.3743,0.0211,-0.0125,2.374
2.4610,2.2145,-0.1829,-0.6674,2.320
2.4680,2.0000,-0.1936,-1.1190,2.300
2.4770,1.5350,0.0693,-1.0998,1.890
2.4850,1.1540,0.4300,-0.7114,1.422
2.4940,1.1127,0.6344,-0.3080,1.317
2.5010,1.1325,0.6425,-0.3360,1.345
2.5110,0.9142,0.7667,-0.0661,1.195
2.5180,0.6315,1.0450,0.1906,1.236
2.5280,0.5188,1.1638,0.4539,1.353
2.5350,0.7344,0.9861,0.4111,1.296
2.5440,1.3611,0.7643,-0.3633,1.603
2.5520,2.3030,0.3425,-1.6347,2.845
2.5600,2.3074,0.3297,-1.6060,2.831
2.5690,2.7262,-0.1146,-2.5740,3.751
2.5850,2.3413,-0.5149,-2.4920,3.458
2.5870,1.2271,-0.7901,-1.8963,2.393
2.5940,0.3972,-0.7858,-1.8194,2.021
2.6020,0.3006,-0.6616,-2.5867,2.687
2.6110,0.5665,-0.6924,-2.9237,3.057
2.6240,0.5332,-0.6785,-2.9386,3.063
2.6280,2.2664,-0.3423,2.9939,3.771
2.6360,3.7611,0.5216,1.7455,4.179
2.6440,4.3908,0.6798,-0.7340,4.503
2.6560,4.4755,0.5482,-1.0605,4.632
2.6610,3.6785,0.6351,-1.5098,4.027
2.6720,3.6814,0.6306,-1.5027,4.026
2.6780,2.3809,0.7482,-0.9160,2.658
2.6860,1.1275,0.8498,0.1542,1.420
2.6950,0.4467,0.8950,0.8105,1.287
2.7030,0.3177,1.1342,0.5158,1.286
2.7120,0.6707,1.0343,-1.4447,1.899
2.7210,0.9832,0.9112,-2.3731,2.726
2.7280,0.9250,0.9101,-2.3503,2.685
2.7380,1.0866,0.9557,-2.5810,2.959
2.7450,0.9794,1.4212,-2.6577,3.169
2.7540,0.8958,1.9365,-2.0182,2.937
2.7620,0.9143,2.0287,-0.7738,2.356
2.7700,0.9963,1.5404,0.3552,1.869
2.7880,1.3559,1.0191,1.1586,2.054
2.7890,1.3322,1.0630,1.0667,2.011
2.7960,1.2786,0.6101,2.0264,2.472
2.8040,0.6038,0.5420,2.0987,2.250
2.8130,0.1850,0.1917,1.1117,1.143
2.8210,-0.5093,-0.0868,-0.3076,0.601
2.8290,-1.4067,-0.0318,-1.7795,2.269
2.8370,-1.8836,0.5790,-1.7907,2.663
2.8470,-1.9264,0.6138,-1.8380,2.732
2.8540,-1.6744,0.9580,0.1096,1.932
2.8650,-0.5128,0.9219,2.1948,2.435
2.8710,1.2334,1.0220,3.2632,3.635
2.8800,2.2791,0.8721,3.8464,4.555
2.8870,1.2404,-0.1778,1.2097,1.742
2.8970,0.8369,-0.7149,0.5840,1.246
2.9040,0.7824,-0.7126,0.6051,1.219
2.9130,0.5725,-0.5341,0.4696,0.913
2.9220,0.3130,-0.1796,0.0565,0.365
2.9300,0.0629,0.0763,-0.0269,0.103
2.9410,-0.3357,0.0003,0.2559,0.422
2.9460,-0.3747,-0.0942,0.4354,0.582
2.9580,-0.3876,-0.0914,0.4364,0.591
2.9630,-0.2408,-0.3239,0.2412,0.470
2.9730,-0.1129,-0.3611,0.0278,0.379
2.9790,0.0157,-0.0271,-0.2431,0.245
2.9940,0.2039,0.0322,-0.3183,0.379
2.9970,0.1573,0.2297,-0.5327,0.601
3.0110,0.0313,0.3312,-0.8872,0.948
3.0140,0.0197,0.3376,-0.8921,0.954
3.0220,-0.0150,0.4075,-0.7467,0.851
3.0300,-0.2504,-0.1242,-1.1562,1.189
3.0390,-0.2372,-0.9836,-1.5289,1.833
3.0470,-0.1300,-1.7597,-1.6495,2.415
3.0550,0.1510,-2.0243,-1.8090,2.719
3.0630,0.7045,-1.7013,-1.3407,2.278
3.0720,0.6725,-1.6721,-1.3646,2.261
3.0830,0.8041,-1.3691,-1.4305,2.137
3.0880,1.0426,-1.3411,-1.5592,2.306
3.0990,1.4531,-1.6860,-1.4986,2.683
3.1060,1.4094,-1.9914,-1.9940,3.151
3.1150,1.1862,-1.6695,-1.9486,2.827
3.1220,0.8010,-1.4443,-1.6971,2.368
3.1310,0.8504,-1.4088,-1.7692,2.416
3.1390,0.6592,-1.1712,-1.4747,1.995
3.1530,0.4003,-1.1641,-1.0447,1.615
3.1610,-0.1006,-1.7016,-0.6937,1.840
3.1650,-0.4301,-1.9059,-0.7296,2.086
