time,ax,ay,az,aT
175.3820,0.1989,-0.1108,0.1471,0.271
175.3890,0.1396,-0.0912,0.1831,0.248
175.3960,0.0623,-0.0913,0.1423,0.180
175.4080,0.0059,-0.0913,0.1988,0.219
175.4130,-0.1265,-0.0914,0.0997,0.185
175.4240,-0.1217,-0.0915,0.0996,0.182
175.4300,-0.1560,-0.0916,0.0223,0.182
175.4430,-0.0940,-0.0917,-0.0541,0.142
175.4570,-0.0143,-0.1111,-0.0719,0.133
175.4580,0.0255,-0.1496,-0.0509,0.160
175.4690,0.1422,-0.1875,0.0079,0.235
175.4720,0.1219,-0.1282,0.0657,0.189
175.4860,0.1216,-0.1277,0.0647,0.188
175.4890,0.0829,-0.0692,0.0642,0.126
175.4970,0.0839,-0.0890,-0.0133,0.123
175.5050,0.0658,-0.0891,-0.0320,0.115
175.5130,0.0091,-0.1085,0.0072,0.109
175.5220,0.0112,-0.0696,0.1037,0.125
175.5300,0.0331,-0.0700,0.0826,0.113
175.5430,0.0352,-0.0703,0.0814,0.113
175.5470,0.0756,-0.0707,0.0223,0.106
175.5650,0.0380,-0.1097,0.0995,0.153
175.5670,0.0793,-0.1288,0.0596,0.163
175.5720,0.0242,-0.1671,0.0977,0.195
175.5810,-0.0107,-0.1274,0.0775,0.149
175.5900,-0.0068,-0.1270,0.0766,0.148
175.5970,-0.0614,-0.0878,0.2111,0.237
175.6060,-0.0577,0.0088,0.0728,0.093
175.6140,-0.0741,-0.0314,0.0914,0.122
175.6230,-0.0128,-0.1096,0.0905,0.143
175.6310,0.0095,-0.0901,0.0700,0.114
175.6400,0.0507,-0.1095,0.1463,0.190
175.6480,0.0528,-0.1092,0.1438,0.188
175.6570,0.1326,-0.1090,0.2189,0.278
175.6650,0.1340,-0.1668,0.0993,0.236
175.6730,0.0391,-0.1852,-0.0182,0.190
175.6980,-0.1507,-0.1839,-0.0943,0.256
175.6990,-0.3766,-0.1054,-0.0912,0.402
