time,ax,ay,az,aT
5.0380,0.1077,-0.1161,0.0445,0.165
5.0430,0.2672,-0.0497,0.0614,0.279
5.0520,0.1542,0.0928,0.0776,0.196
5.0600,-0.1504,0.1754,0.0741,0.243
5.0690,-0.1413,0.1605,0.0704,0.225
5.0800,-0.4233,0.1670,-0.1265,0.472
5.0850,-0.4520,0.0999,-0.3589,0.586
5.0970,-0.4434,0.0183,-0.5297,0.691
5.1020,-0.1851,-0.0402,-0.4656,0.503
5.1140,0.0493,-0.0562,-0.3640,0.372
5.1190,0.0491,-0.0517,-0.3618,0.369
5.1280,0.1663,-0.0290,-0.2833,0.330
5.1350,0.1666,-0.0265,-0.2065,0.267
5.1530,0.0321,-0.0445,-0.0535,0.077
5.1540,-0.0810,-0.1209,0.0394,0.151
5.1620,-0.2122,-0.1186,0.1506,0.286
5.1700,-0.1685,-0.1551,0.0873,0.245
5.1780,-0.1653,-0.1528,0.0845,0.240
5.1860,-0.1432,-0.2282,0.0050,0.269
5.1940,-0.1790,-0.1284,-0.0545,0.227
5.2030,-0.0592,-0.0874,0.0600,0.121
5.2110,0.0399,-0.0276,0.0373,0.061
5.2210,-0.0557,-0.0092,0.0544,0.078
5.2280,-0.0342,-0.0118,-0.0053,0.037
5.2370,-0.0327,-0.0152,-0.0052,0.036
5.2450,-0.2255,-0.0380,-0.1394,0.268
5.2620,-0.3396,-0.0408,-0.1931,0.393
5.2630,-0.4148,0.0161,-0.2067,0.464
5.2710,-0.5292,-0.0025,-0.2388,0.581
5.2790,-0.5857,0.0407,-0.2508,0.638
5.2870,-0.6822,0.0489,-0.3205,0.755
5.2950,-0.6829,0.0630,-0.3120,0.753
5.3040,-0.5693,0.1604,-0.2272,0.634
5.3120,-0.4579,0.1053,-0.2217,0.520
5.3200,-0.6779,0.1124,-0.2941,0.747
5.3290,-0.8776,0.1241,-0.2876,0.932
5.3370,-1.0973,0.1825,-0.2035,1.131
5.3450,-1.1037,0.2298,-0.1987,1.145
5.3540,-1.0549,0.2849,-0.0973,1.097
5.3620,-0.9707,0.3075,-0.2482,1.048
5.3710,-1.0452,0.1999,-0.4147,1.142
5.3820,-0.8333,0.3328,-0.5946,1.076
5.3880,-0.6854,0.4310,-0.6730,1.053
5.3980,-0.5420,0.3976,-0.5934,0.897
5.4040,-0.5763,0.4858,-0.5713,0.946
5.4200,-0.3204,0.5394,-0.3367,0.712
5.4220,-0.2026,0.4220,-0.2218,0.518
5.4320,-0.1630,0.2923,-0.1480,0.366
5.4380,-0.0264,0.2826,0.0219,0.285
5.4460,0.0311,0.2370,0.1908,0.306
5.4550,-0.0863,0.1361,0.2624,0.308
5.4630,-0.1262,0.2498,0.2793,0.395
5.4720,-0.4385,-0.1203,0.3589,0.579
5.4810,-0.6518,-0.3091,0.6357,0.962
5.4890,-0.6780,-0.5571,0.9236,1.274
5.4970,-0.3514,-0.8807,0.9979,1.377
5.5050,0.0944,-1.1428,1.2283,1.680
5.5140,0.5822,-1.2518,1.4765,2.021
5.5220,0.5444,-1.1316,1.5077,1.962
5.5300,0.7449,-1.0386,1.5377,1.999
5.5380,0.9290,-0.9357,1.2527,1.819
5.5520,0.8421,-0.9599,0.8882,1.555
5.5570,1.0511,-0.7784,0.5432,1.416
5.5640,1.1240,-0.9360,0.2770,1.489
5.5720,1.0996,-0.8623,0.3053,1.430
5.5810,0.9772,-1.0483,0.0024,1.433
5.5910,-1.2782,-1.9592,-2.0803,3.131
5.5970,-1.9199,-2.5447,-2.8714,4.290
5.6060,0.3722,-1.9192,-1.2272,2.308
5.6140,1.3992,-1.2713,-0.0623,1.892
5.6230,1.1852,-0.8392,0.8753,1.696
5.6310,1.1410,-0.7898,0.9400,1.676
5.6390,0.2711,-0.4092,0.8734,1.002
5.6470,-0.4829,-0.2342,1.0282,1.160
5.6560,-1.1781,-0.2003,0.8928,1.492
5.6640,-1.2637,-0.5574,0.8943,1.645
5.6730,-1.0928,-0.6579,1.0707,1.665
5.6830,-0.8027,-0.8029,1.6357,1.991
5.6920,-0.8450,-0.8013,1.7090,2.068
5.6990,-0.6926,-0.7764,2.0777,2.324
5.7080,-0.9515,-0.4192,2.2496,2.478
5.7160,-0.9860,0.4583,0.7017,1.294
5.7230,-2.5156,0.9646,0.6827,2.779
5.7330,-3.8270,1.1317,0.7301,4.057
5.7400,-4.5264,0.9404,0.7227,4.679
5.7490,-4.4423,0.8081,0.5916,4.554
5.7570,-5.1226,0.3901,0.3201,5.147
5.7660,-4.9147,0.1499,0.7520,4.974
5.7740,-3.5870,0.0665,0.4589,3.617
5.7830,-2.4332,0.4587,0.2249,2.486
5.7900,-1.6792,0.8122,-0.2865,1.887
5.7990,-1.5807,0.7322,-0.4079,1.789
5.8070,-1.2779,1.0757,-0.8025,1.853
5.8160,-1.2249,1.4233,-1.1720,2.214
5.8240,-1.3569,1.7165,-1.5239,2.666
5.8360,-1.7081,1.8554,-1.8440,3.124
5.8400,-1.8847,1.8051,-2.0370,3.311
5.8510,-1.9829,1.7271,-2.0666,3.345
5.8610,-1.9255,1.5662,-2.0891,3.244
5.8660,-1.8091,1.4264,-2.0293,3.070
5.8810,-1.6583,1.1742,-1.9419,2.811
5.8860,-1.3574,1.0813,-1.8636,2.546
5.8910,-1.0455,1.3049,-1.7342,2.409
5.8990,-0.7445,1.5461,-1.6869,2.406
5.9080,-0.3713,1.8988,-1.6076,2.516
5.9160,-0.3552,1.7343,-1.5557,2.357
5.9250,0.3043,2.1290,-1.3943,2.563
5.9330,0.8449,2.2366,-1.3974,2.769
5.9420,1.0915,2.0345,-1.5233,2.766
5.9500,1.1843,1.8054,-1.5227,2.642
5.9630,1.3791,1.5550,-1.2429,2.422
5.9660,1.3638,1.5024,-0.9817,2.254
5.9750,1.3962,1.2963,-0.8809,2.099
5.9870,1.2237,1.4070,-0.4734,1.924
5.9910,0.9238,1.6197,-0.1709,1.872
6.0000,0.9265,2.0735,0.0844,2.273
6.0080,0.5652,2.2384,0.1367,2.313
6.0160,0.5448,2.4069,0.3405,2.491
6.0260,0.6278,2.2301,0.4005,2.351
6.0360,0.8351,2.3471,0.4988,2.541
6.0420,0.9317,2.4656,0.3982,2.666
6.0520,1.1360,2.5424,0.2179,2.793
6.0590,1.4072,2.5993,0.0363,2.956
6.0680,1.8623,2.5602,-0.0896,3.167
6.0770,2.4397,2.5052,-0.3738,3.517
6.0850,2.5688,2.3368,-0.3238,3.488
6.0920,3.0707,2.2519,-0.6634,3.865
6.1020,3.2957,2.2322,-0.7840,4.057
6.1100,3.3978,2.2806,-0.5897,4.134
6.1190,3.3389,2.3017,-0.1656,4.059
6.1290,3.3141,2.2552,0.4499,4.034
6.1350,3.2062,2.0796,0.8487,3.915
6.1470,3.3105,1.9693,0.8940,3.954
6.1510,3.2134,1.6498,0.9022,3.723
6.1620,3.0516,1.2176,0.6809,3.355
6.1670,2.9812,0.8896,0.4238,3.140
6.1800,2.8248,0.2957,0.3040,2.856
6.1850,3.1298,0.1996,0.5369,3.182
