time,ax,ay,az,aT
6.2670,0.3556,-0.0864,0.3976,0.540
6.2740,0.3530,0.0801,0.1857,0.407
6.2830,0.2600,0.1440,-0.1002,0.314
6.2910,0.2683,0.1285,-0.0927,0.312
6.2990,-0.0333,0.0180,-0.3186,0.321
6.3080,-0.3139,0.0278,-0.3687,0.485
6.3160,-0.5389,0.0220,-0.1866,0.571
6.3270,-0.6355,0.0792,0.0515,0.642
6.3330,-0.4871,0.1013,0.3248,0.594
6.3430,-0.1719,0.1448,0.4787,0.529
6.3490,-0.1933,0.1488,0.4777,0.536
6.3590,0.0959,0.2282,0.6331,0.680
6.3670,0.4052,0.2839,0.6324,0.803
6.3750,0.5805,0.2186,0.4974,0.795
6.3830,0.6633,0.1699,0.3644,0.776
6.3990,0.6546,0.0997,0.0199,0.662
6.4010,0.5533,0.1256,-0.1851,0.597
6.4180,0.5539,0.1121,-0.1761,0.592
6.4200,0.3825,0.1769,-0.2466,0.488
6.4250,0.2346,0.2227,-0.2409,0.403
6.4340,0.0896,0.1531,-0.1597,0.239
6.4420,-0.1310,0.0664,-0.0228,0.149
6.4500,-0.2721,-0.0179,0.1695,0.321
6.4590,-0.3940,-0.1580,0.3206,0.532
6.4670,-0.3829,-0.1601,0.3165,0.522
6.4760,-0.3565,-0.2985,0.1609,0.492
6.4840,-0.3146,-0.4362,-0.0669,0.542
6.4920,-0.1980,-0.3013,-0.4450,0.573
6.5040,-0.1410,-0.1673,-0.7222,0.755
6.5090,-0.1052,-0.1482,-0.8046,0.825
6.5210,-0.1107,-0.1433,-0.7936,0.814
6.5260,-0.0028,-0.2098,-0.4974,0.540
6.5360,0.1404,-0.3093,-0.1900,0.389
6.5430,0.3776,-0.3461,0.2457,0.568
6.5630,0.5408,-0.4764,0.5631,0.915
6.5710,0.4876,-0.4597,0.6252,0.916
6.5790,0.4741,-0.4437,0.6096,0.891
6.5840,0.2908,-0.4116,0.6142,0.794
6.5930,0.0569,-0.3825,0.5219,0.650
6.6020,-0.1134,-0.6253,0.3918,0.747
6.6100,-0.1858,-0.8247,0.3014,0.897
6.6190,-0.2993,-0.9612,0.1734,1.022
6.6260,-0.3041,-1.1118,0.1263,1.160
